"Statistic Label","Quarter","Size of Employees per Enterprise","Economic Sector NACE Rev 2","UNIT","VALUE"
"Average Hourly Earnings","2016Q3","Under 50","Professional, scientific and technical activities (M)","Euro","21.57"
"Average Hourly Earnings","2016Q3","Under 50","Administrative and support service activities (N)","Euro","19.3"
"Average Hourly Earnings","2016Q3","Under 50","Public administration and defence; compulsory social security (O)","Euro","26.15"
"Average Hourly Earnings","2016Q3","Under 50","Education (P)","Euro","17.98"
"Average Hourly Earnings","2016Q3","Under 50","Human health and social work activities (Q)","Euro","17.68"
"Average Hourly Earnings","2016Q3","Under 50","Industry (B to E)","Euro","17.95"
"Average Hourly Earnings","2016Q3","Under 50","Financial, insurance and real estate activities (K,L)","Euro","27.02"
"Average Hourly Earnings","2016Q3","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","15.76"
"Average Hourly Earnings","2016Q3","50 - 250","All NACE economic sectors","Euro","19.45"
"Average Hourly Earnings","2016Q3","50 - 250","Construction (F)","Euro","22.06"
"Average Hourly Earnings","2016Q3","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","18.22"
"Average Hourly Earnings","2016Q3","50 - 250","Transportation and storage (H)","Euro","19.43"
"Average Hourly Earnings","2016Q3","50 - 250","Accommodation and food service activities (I)","Euro","12.69"
"Average Hourly Earnings","2016Q3","50 - 250","Information and communication (J)","Euro","28.3"
"Average Hourly Earnings","2016Q3","50 - 250","Professional, scientific and technical activities (M)","Euro","27.05"
"Average Hourly Earnings","2016Q3","50 - 250","Administrative and support service activities (N)","Euro","18.63"
"Average Hourly Earnings","2016Q3","50 - 250","Public administration and defence; compulsory social security (O)","Euro","29.54"
"Average Hourly Earnings","2016Q3","50 - 250","Education (P)","Euro","21.33"
"Average Hourly Earnings","2016Q3","50 - 250","Human health and social work activities (Q)","Euro","17.35"
"Average Hourly Earnings","2016Q3","50 - 250","Industry (B to E)","Euro","18.97"
"Average Hourly Earnings","2016Q3","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","29.45"
"Average Hourly Earnings","2016Q3","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","18.56"
"Average Hourly Earnings","2016Q3","Greater than 250","All NACE economic sectors","Euro","24.86"
"Average Hourly Earnings","2016Q3","Greater than 250","Construction (F)","Euro","25.02"
"Average Hourly Earnings","2016Q3","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.85"
"Average Hourly Earnings","2016Q3","Greater than 250","Transportation and storage (H)","Euro","23.33"
"Average Hourly Earnings","2016Q3","Greater than 250","Accommodation and food service activities (I)","Euro","12.64"
"Average Hourly Earnings","2016Q3","Greater than 250","Information and communication (J)","Euro","31.38"
"Average Hourly Earnings","2016Q3","Greater than 250","Professional, scientific and technical activities (M)","Euro","29.67"
"Average Hourly Earnings","2016Q3","Greater than 250","Administrative and support service activities (N)","Euro","15.49"
"Average Hourly Earnings","2016Q3","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","24.85"
"Average Hourly Earnings","2016Q3","Greater than 250","Education (P)","Euro","37.62"
"Average Hourly Earnings","2016Q3","Greater than 250","Human health and social work activities (Q)","Euro","24.28"
"Average Hourly Earnings","2016Q3","Greater than 250","Industry (B to E)","Euro","24.53"
"Average Hourly Earnings","2016Q3","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","28.46"
"Average Hourly Earnings","2016Q3","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","17.97"
"Average Hourly Earnings","2016Q4","Under 50","All NACE economic sectors","Euro","18.63"
"Average Hourly Earnings","2016Q4","Under 50","Construction (F)","Euro","18.8"
"Average Hourly Earnings","2016Q4","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","17.9"
"Average Hourly Earnings","2016Q4","Under 50","Transportation and storage (H)","Euro","18.49"
"Average Hourly Earnings","2016Q4","Under 50","Accommodation and food service activities (I)","Euro","12.16"
"Average Hourly Earnings","2016Q4","Under 50","Information and communication (J)","Euro","25.3"
"Average Hourly Earnings","2016Q4","Under 50","Professional, scientific and technical activities (M)","Euro","23.29"
"Average Hourly Earnings","2016Q4","Under 50","Administrative and support service activities (N)","Euro","19.61"
"Average Hourly Earnings","2016Q4","Under 50","Public administration and defence; compulsory social security (O)","Euro","25.27"
"Average Hourly Earnings","2016Q4","Under 50","Education (P)","Euro","17.63"
"Average Hourly Earnings","2016Q4","Under 50","Human health and social work activities (Q)","Euro","17.99"
"Average Hourly Earnings","2016Q4","Under 50","Industry (B to E)","Euro","18.1"
"Average Hourly Earnings","2016Q4","Under 50","Financial, insurance and real estate activities (K,L)","Euro","28.98"
"Average Hourly Earnings","2016Q4","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","16.04"
"Average Hourly Earnings","2016Q4","50 - 250","All NACE economic sectors","Euro","20.18"
"Average Hourly Earnings","2016Q4","50 - 250","Construction (F)","Euro","22.86"
"Average Hourly Earnings","2016Q4","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","19.15"
"Average Hourly Earnings","2016Q4","50 - 250","Transportation and storage (H)","Euro","19.22"
"Average Hourly Earnings","2016Q4","50 - 250","Accommodation and food service activities (I)","Euro","13.1"
"Average Hourly Earnings","2016Q4","50 - 250","Information and communication (J)","Euro","28.56"
"Average Hourly Earnings","2016Q4","50 - 250","Professional, scientific and technical activities (M)","Euro","27.53"
"Average Hourly Earnings","2016Q4","50 - 250","Administrative and support service activities (N)","Euro","19.37"
"Average Hourly Earnings","2016Q4","50 - 250","Public administration and defence; compulsory social security (O)","Euro","29.41"
"Average Hourly Earnings","2016Q4","50 - 250","Education (P)","Euro","26.46"
"Average Hourly Earnings","2016Q4","50 - 250","Human health and social work activities (Q)","Euro","17.55"
"Average Hourly Earnings","2016Q4","50 - 250","Industry (B to E)","Euro","19.81"
"Average Hourly Earnings","2016Q4","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","30.25"
"Average Hourly Earnings","2016Q4","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","17.51"
"Average Hourly Earnings","2016Q4","Greater than 250","All NACE economic sectors","Euro","25.36"
"Average Hourly Earnings","2016Q4","Greater than 250","Construction (F)","Euro","26.67"
"Average Hourly Earnings","2016Q4","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","18.6"
"Average Hourly Earnings","2016Q4","Greater than 250","Transportation and storage (H)","Euro","24.28"
"Average Hourly Earnings","2016Q4","Greater than 250","Accommodation and food service activities (I)","Euro","12.89"
"Average Hourly Earnings","2016Q4","Greater than 250","Information and communication (J)","Euro","31.53"
"Average Hourly Earnings","2016Q4","Greater than 250","Professional, scientific and technical activities (M)","Euro","29.27"
"Average Hourly Earnings","2016Q4","Greater than 250","Administrative and support service activities (N)","Euro","15.35"
"Average Hourly Earnings","2016Q4","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","24.98"
"Average Hourly Earnings","2016Q4","Greater than 250","Education (P)","Euro","37.34"
"Average Hourly Earnings","2016Q4","Greater than 250","Human health and social work activities (Q)","Euro","24.44"
"Average Hourly Earnings","2016Q4","Greater than 250","Industry (B to E)","Euro","25.42"
"Average Hourly Earnings","2016Q4","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","28.74"
"Average Hourly Earnings","2016Q4","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","18.75"
"Average Hourly Earnings","2017Q1","Under 50","All NACE economic sectors","Euro","18.69"
"Average Hourly Earnings","2017Q1","Under 50","Construction (F)","Euro","18.65"
"Average Hourly Earnings","2017Q1","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","17.6"
"Average Hourly Earnings","2017Q1","Under 50","Transportation and storage (H)","Euro","18.01"
"Average Hourly Earnings","2017Q1","Under 50","Accommodation and food service activities (I)","Euro","12.31"
"Average Hourly Earnings","2017Q1","Under 50","Information and communication (J)","Euro","25.46"
"Average Hourly Earnings","2017Q1","Under 50","Professional, scientific and technical activities (M)","Euro","24.32"
"Average Hourly Earnings","2017Q1","Under 50","Administrative and support service activities (N)","Euro","19.21"
"Average Hourly Earnings","2017Q1","Under 50","Public administration and defence; compulsory social security (O)","Euro","23.69"
"Average Hourly Earnings","2017Q1","Under 50","Education (P)","Euro","17.55"
"Average Hourly Earnings","2017Q1","Under 50","Human health and social work activities (Q)","Euro","18.29"
"Average Hourly Earnings","2017Q1","Under 50","Industry (B to E)","Euro","18.5"
"Average Hourly Earnings","2017Q1","Under 50","Financial, insurance and real estate activities (K,L)","Euro","31.11"
"Average Hourly Earnings","2017Q1","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","15.24"
"Average Hourly Earnings","2017Q1","50 - 250","All NACE economic sectors","Euro","20.67"
"Average Hourly Earnings","2017Q1","50 - 250","Construction (F)","Euro","22.06"
"Average Hourly Earnings","2017Q1","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","19.45"
"Average Hourly Earnings","2017Q1","50 - 250","Transportation and storage (H)","Euro","19.03"
"Average Hourly Earnings","2017Q1","50 - 250","Accommodation and food service activities (I)","Euro","13.14"
"Average Hourly Earnings","2017Q1","50 - 250","Information and communication (J)","Euro","30.67"
"Average Hourly Earnings","2017Q1","50 - 250","Professional, scientific and technical activities (M)","Euro","27.44"
"Average Hourly Earnings","2017Q1","50 - 250","Administrative and support service activities (N)","Euro","19.59"
"Average Hourly Earnings","2017Q1","50 - 250","Public administration and defence; compulsory social security (O)","Euro","29.72"
"Average Hourly Earnings","2017Q1","50 - 250","Education (P)","Euro","25.83"
"Average Hourly Earnings","2017Q1","50 - 250","Human health and social work activities (Q)","Euro","17.11"
"Average Hourly Earnings","2017Q1","50 - 250","Industry (B to E)","Euro","20.11"
"Average Hourly Earnings","2017Q1","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","36.6"
"Average Hourly Earnings","2017Q1","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","19.47"
"Average Hourly Earnings","2017Q1","Greater than 250","All NACE economic sectors","Euro","26.15"
"Average Hourly Earnings","2017Q1","Greater than 250","Construction (F)","Euro","25.24"
"Average Hourly Earnings","2017Q1","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","18.2"
"Average Hourly Earnings","2017Q1","Greater than 250","Transportation and storage (H)","Euro","23.74"
"Average Hourly Earnings","2017Q1","Greater than 250","Accommodation and food service activities (I)","Euro","12.98"
"Average Hourly Earnings","2017Q1","Greater than 250","Information and communication (J)","Euro","33.22"
"Average Hourly Earnings","2017Q1","Greater than 250","Professional, scientific and technical activities (M)","Euro","29.71"
"Average Hourly Earnings","2017Q1","Greater than 250","Administrative and support service activities (N)","Euro","16.7"
"Average Hourly Earnings","2017Q1","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","25.1"
"Average Hourly Earnings","2017Q1","Greater than 250","Education (P)","Euro","37.35"
"Average Hourly Earnings","2017Q1","Greater than 250","Human health and social work activities (Q)","Euro","24.53"
"Average Hourly Earnings","2017Q1","Greater than 250","Industry (B to E)","Euro","26.95"
"Average Hourly Earnings","2017Q1","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","34.38"
"Average Hourly Earnings","2017Q1","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","20.38"
"Average Hourly Earnings","2017Q2","Under 50","All NACE economic sectors","Euro","18.4"
"Average Hourly Earnings","2017Q2","Under 50","Construction (F)","Euro","18.6"
"Average Hourly Earnings","2017Q2","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","17.67"
"Average Hourly Earnings","2017Q2","Under 50","Transportation and storage (H)","Euro","17.78"
"Average Hourly Earnings","2017Q2","Under 50","Accommodation and food service activities (I)","Euro","12.27"
"Average Hourly Earnings","2017Q2","Under 50","Information and communication (J)","Euro","26.06"
"Average Hourly Earnings","2017Q2","Under 50","Professional, scientific and technical activities (M)","Euro","23.31"
"Average Hourly Earnings","2017Q2","Under 50","Administrative and support service activities (N)","Euro","20.01"
"Average Hourly Earnings","2017Q2","Under 50","Public administration and defence; compulsory social security (O)","Euro","25.16"
"Average Hourly Earnings","2017Q2","Under 50","Education (P)","Euro","18.71"
"Average Hourly Earnings","2017Q2","Under 50","Human health and social work activities (Q)","Euro","17.86"
"Average Hourly Earnings","2017Q2","Under 50","Industry (B to E)","Euro","17.59"
"Average Hourly Earnings","2017Q2","Under 50","Financial, insurance and real estate activities (K,L)","Euro","29.11"
"Average Hourly Earnings","2017Q2","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","15.27"
"Average Hourly Earnings","2017Q2","50 - 250","All NACE economic sectors","Euro","20.26"
"Average Hourly Earnings","2017Q2","50 - 250","Construction (F)","Euro","21.65"
"Average Hourly Earnings","2017Q2","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","19.44"
"Average Hourly Earnings","2017Q2","50 - 250","Transportation and storage (H)","Euro","19.31"
"Average Hourly Earnings","2017Q2","50 - 250","Accommodation and food service activities (I)","Euro","12.94"
"Average Hourly Earnings","2017Q2","50 - 250","Information and communication (J)","Euro","28.77"
"Average Hourly Earnings","2017Q2","50 - 250","Professional, scientific and technical activities (M)","Euro","28.73"
"Average Hourly Earnings","2017Q2","50 - 250","Administrative and support service activities (N)","Euro","20.08"
"Average Hourly Earnings","2017Q2","50 - 250","Public administration and defence; compulsory social security (O)","Euro","30.68"
"Average Hourly Earnings","2017Q2","50 - 250","Education (P)","Euro","24.47"
"Average Hourly Earnings","2017Q2","50 - 250","Human health and social work activities (Q)","Euro","17.23"
"Average Hourly Earnings","2017Q2","50 - 250","Industry (B to E)","Euro","19.64"
"Average Hourly Earnings","2017Q2","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","31.9"
"Average Hourly Earnings","2017Q2","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","19.62"
"Average Hourly Earnings","2017Q2","Greater than 250","All NACE economic sectors","Euro","25.57"
"Average Hourly Earnings","2017Q2","Greater than 250","Construction (F)","Euro","24.93"
"Average Hourly Earnings","2017Q2","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","18.02"
"Average Hourly Earnings","2017Q2","Greater than 250","Transportation and storage (H)","Euro","24.35"
"Average Hourly Earnings","2017Q2","Greater than 250","Accommodation and food service activities (I)","Euro","13.12"
"Average Hourly Earnings","2017Q2","Greater than 250","Information and communication (J)","Euro","32.11"
"Average Hourly Earnings","2017Q2","Greater than 250","Professional, scientific and technical activities (M)","Euro","28.21"
"Average Hourly Earnings","2017Q2","Greater than 250","Administrative and support service activities (N)","Euro","15.32"
"Average Hourly Earnings","2017Q2","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","25.91"
"Average Hourly Earnings","2017Q2","Greater than 250","Education (P)","Euro","38.3"
"Average Hourly Earnings","2017Q2","Greater than 250","Human health and social work activities (Q)","Euro","24.95"
"Average Hourly Earnings","2017Q2","Greater than 250","Industry (B to E)","Euro","25.34"
"Average Hourly Earnings","2017Q2","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","30.13"
"Average Hourly Earnings","2017Q2","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","18.24"
"Average Hourly Earnings","2017Q3","Under 50","All NACE economic sectors","Euro","18.33"
"Average Hourly Earnings","2017Q3","Under 50","Construction (F)","Euro","18.47"
"Average Hourly Earnings","2017Q3","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","17.35"
"Average Hourly Earnings","2017Q3","Under 50","Transportation and storage (H)","Euro","18.46"
"Average Hourly Earnings","2017Q3","Under 50","Accommodation and food service activities (I)","Euro","12.15"
"Average Hourly Earnings","2017Q3","Under 50","Information and communication (J)","Euro","24.58"
"Average Hourly Earnings","2017Q3","Under 50","Professional, scientific and technical activities (M)","Euro","22.73"
"Average Hourly Earnings","2017Q3","Under 50","Administrative and support service activities (N)","Euro","20.25"
"Average Hourly Earnings","2017Q3","Under 50","Public administration and defence; compulsory social security (O)","Euro","22.74"
"Average Hourly Earnings","2017Q3","Under 50","Education (P)","Euro","18.91"
"Average Hourly Earnings","2017Q3","Under 50","Human health and social work activities (Q)","Euro","18.82"
"Average Hourly Earnings","2017Q3","Under 50","Industry (B to E)","Euro","18.43"
"Average Hourly Earnings","2017Q3","Under 50","Financial, insurance and real estate activities (K,L)","Euro","27.93"
"Average Hourly Earnings","2017Q3","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","15.14"
"Average Hourly Earnings","2017Q3","50 - 250","All NACE economic sectors","Euro","20.01"
"Average Hourly Earnings","2017Q3","50 - 250","Construction (F)","Euro","22.03"
"Average Hourly Earnings","2017Q3","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","18.55"
"Average Hourly Earnings","2017Q3","50 - 250","Transportation and storage (H)","Euro","19.07"
"Average Hourly Earnings","2017Q3","50 - 250","Accommodation and food service activities (I)","Euro","12.95"
"Average Hourly Earnings","2017Q3","50 - 250","Information and communication (J)","Euro","29.75"
"Average Hourly Earnings","2017Q3","50 - 250","Professional, scientific and technical activities (M)","Euro","27.96"
"Average Hourly Earnings","2017Q3","50 - 250","Administrative and support service activities (N)","Euro","19.62"
"Average Hourly Earnings","2017Q3","50 - 250","Public administration and defence; compulsory social security (O)","Euro","30.62"
"Average Hourly Earnings","2017Q3","50 - 250","Education (P)","Euro","21.51"
"Average Hourly Earnings","2017Q3","50 - 250","Human health and social work activities (Q)","Euro","17.15"
"Average Hourly Earnings","2017Q3","50 - 250","Industry (B to E)","Euro","19.84"
"Average Hourly Earnings","2017Q3","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","30.27"
"Average Hourly Earnings","2017Q3","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","19.9"
"Average Hourly Earnings","2017Q3","Greater than 250","All NACE economic sectors","Euro","25.45"
"Average Hourly Earnings","2017Q3","Greater than 250","Construction (F)","Euro","23.17"
"Average Hourly Earnings","2017Q3","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","17.53"
"Average Hourly Earnings","2017Q3","Greater than 250","Transportation and storage (H)","Euro","24"
"Average Hourly Earnings","2017Q3","Greater than 250","Accommodation and food service activities (I)","Euro","12.81"
"Average Hourly Earnings","2017Q3","Greater than 250","Information and communication (J)","Euro","32.57"
"Average Hourly Earnings","2017Q3","Greater than 250","Professional, scientific and technical activities (M)","Euro","30.39"
"Average Hourly Earnings","2017Q3","Greater than 250","Administrative and support service activities (N)","Euro","15.57"
"Average Hourly Earnings","2017Q3","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","25.43"
"Average Hourly Earnings","2017Q3","Greater than 250","Education (P)","Euro","39.11"
"Average Hourly Earnings","2017Q3","Greater than 250","Human health and social work activities (Q)","Euro","24.72"
"Average Hourly Earnings","2017Q3","Greater than 250","Industry (B to E)","Euro","24.98"
"Average Hourly Earnings","2017Q3","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","29.54"
"Average Hourly Earnings","2017Q3","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","17.03"
"Average Hourly Earnings","2017Q4","Under 50","All NACE economic sectors","Euro","19.01"
"Average Hourly Earnings","2017Q4","Under 50","Construction (F)","Euro","19.29"
"Average Hourly Earnings","2017Q4","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","18.52"
"Average Hourly Earnings","2017Q4","Under 50","Transportation and storage (H)","Euro","18.65"
"Average Hourly Earnings","2017Q4","Under 50","Accommodation and food service activities (I)","Euro","12.68"
"Average Hourly Earnings","2017Q4","Under 50","Information and communication (J)","Euro","26.86"
"Average Hourly Earnings","2017Q4","Under 50","Professional, scientific and technical activities (M)","Euro","24.18"
"Average Hourly Earnings","2017Q4","Under 50","Administrative and support service activities (N)","Euro","19.27"
"Average Hourly Earnings","2017Q4","Under 50","Public administration and defence; compulsory social security (O)","Euro","21.93"
"Average Hourly Earnings","2017Q4","Under 50","Education (P)","Euro","19.13"
"Average Hourly Earnings","2017Q4","Under 50","Human health and social work activities (Q)","Euro","18.41"
"Average Hourly Earnings","2017Q4","Under 50","Industry (B to E)","Euro","18.34"
"Average Hourly Earnings","2017Q4","Under 50","Financial, insurance and real estate activities (K,L)","Euro","29.59"
"Average Hourly Earnings","2017Q4","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","15.99"
"Average Hourly Earnings","2017Q4","50 - 250","All NACE economic sectors","Euro","20.54"
"Average Hourly Earnings","2017Q4","50 - 250","Construction (F)","Euro","23.63"
"Average Hourly Earnings","2017Q4","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","19.27"
"Average Hourly Earnings","2017Q4","50 - 250","Transportation and storage (H)","Euro","19.22"
"Average Hourly Earnings","2017Q4","50 - 250","Accommodation and food service activities (I)","Euro","13.07"
"Average Hourly Earnings","2017Q4","50 - 250","Information and communication (J)","Euro","29.19"
"Average Hourly Earnings","2017Q4","50 - 250","Professional, scientific and technical activities (M)","Euro","29.53"
"Average Hourly Earnings","2017Q4","50 - 250","Administrative and support service activities (N)","Euro","20.37"
"Average Hourly Earnings","2017Q4","50 - 250","Public administration and defence; compulsory social security (O)","Euro","30.32"
"Average Hourly Earnings","2017Q4","50 - 250","Education (P)","Euro","23.97"
"Average Hourly Earnings","2017Q4","50 - 250","Human health and social work activities (Q)","Euro","17.42"
"Average Hourly Earnings","2017Q4","50 - 250","Industry (B to E)","Euro","20.15"
"Average Hourly Earnings","2017Q4","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","32.49"
"Average Hourly Earnings","2017Q4","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","20.9"
"Average Hourly Earnings","2017Q4","Greater than 250","All NACE economic sectors","Euro","25.76"
"Average Hourly Earnings","2017Q4","Greater than 250","Construction (F)","Euro","24.5"
"Average Hourly Earnings","2017Q4","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","18.54"
"Average Hourly Earnings","2017Q4","Greater than 250","Transportation and storage (H)","Euro","24.08"
"Average Hourly Earnings","2017Q4","Greater than 250","Accommodation and food service activities (I)","Euro","13.11"
"Average Hourly Earnings","2017Q4","Greater than 250","Information and communication (J)","Euro","33.08"
"Average Hourly Earnings","2017Q4","Greater than 250","Professional, scientific and technical activities (M)","Euro","30.6"
"Average Hourly Earnings","2017Q4","Greater than 250","Administrative and support service activities (N)","Euro","15.39"
"Average Hourly Earnings","2017Q4","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","25.37"
"Average Hourly Earnings","2017Q4","Greater than 250","Education (P)","Euro","38.87"
"Average Hourly Earnings","2017Q4","Greater than 250","Human health and social work activities (Q)","Euro","24.71"
"Average Hourly Earnings","2017Q4","Greater than 250","Industry (B to E)","Euro","25.98"
"Average Hourly Earnings","2017Q4","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","29.6"
"Average Hourly Earnings","2017Q4","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","17.38"
"Average Hourly Earnings","2018Q1","Under 50","All NACE economic sectors","Euro","19.08"
"Average Hourly Earnings","2018Q1","Under 50","Construction (F)","Euro","19.36"
"Average Hourly Earnings","2018Q1","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","18.14"
"Average Hourly Earnings","2018Q1","Under 50","Transportation and storage (H)","Euro","17.69"
"Average Hourly Earnings","2018Q1","Under 50","Accommodation and food service activities (I)","Euro","13.3"
"Average Hourly Earnings","2018Q1","Under 50","Information and communication (J)","Euro","25.29"
"Average Hourly Earnings","2018Q1","Under 50","Professional, scientific and technical activities (M)","Euro","25.12"
"Average Hourly Earnings","2018Q1","Under 50","Administrative and support service activities (N)","Euro","20.01"
"Average Hourly Earnings","2018Q1","Under 50","Public administration and defence; compulsory social security (O)","Euro","24.29"
"Average Hourly Earnings","2018Q1","Under 50","Education (P)","Euro","17.94"
"Average Hourly Earnings","2018Q1","Under 50","Human health and social work activities (Q)","Euro","18.26"
"Average Hourly Earnings","2018Q1","Under 50","Industry (B to E)","Euro","18.5"
"Average Hourly Earnings","2018Q1","Under 50","Financial, insurance and real estate activities (K,L)","Euro","32.2"
"Average Hourly Earnings","2018Q1","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","15.65"
"Average Hourly Earnings","2018Q1","50 - 250","All NACE economic sectors","Euro","21.59"
"Average Hourly Earnings","2018Q1","50 - 250","Construction (F)","Euro","23.36"
"Average Hourly Earnings","2018Q1","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","19.8"
"Average Hourly Earnings","2018Q1","50 - 250","Transportation and storage (H)","Euro","18.92"
"Average Hourly Earnings","2018Q1","50 - 250","Accommodation and food service activities (I)","Euro","13.52"
"Average Hourly Earnings","2018Q1","50 - 250","Information and communication (J)","Euro","32.35"
"Average Hourly Earnings","2018Q1","50 - 250","Professional, scientific and technical activities (M)","Euro","28.56"
"Average Hourly Earnings","2018Q1","50 - 250","Administrative and support service activities (N)","Euro","22.01"
"Average Hourly Earnings","2018Q1","50 - 250","Public administration and defence; compulsory social security (O)","Euro","30.44"
"Average Hourly Earnings","2018Q1","50 - 250","Education (P)","Euro","26.16"
"Average Hourly Earnings","2018Q1","50 - 250","Human health and social work activities (Q)","Euro","17.54"
"Average Hourly Earnings","2018Q1","50 - 250","Industry (B to E)","Euro","20.74"
"Average Hourly Earnings","2018Q1","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","40.49"
"Average Hourly Earnings","2018Q1","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","20.07"
"Average Hourly Earnings","2018Q1","Greater than 250","All NACE economic sectors","Euro","26.89"
"Average Hourly Earnings","2018Q1","Greater than 250","Construction (F)","Euro","22.86"
"Average Hourly Earnings","2018Q1","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","18.42"
"Average Hourly Earnings","2018Q1","Greater than 250","Transportation and storage (H)","Euro","24.48"
"Average Hourly Earnings","2018Q1","Greater than 250","Accommodation and food service activities (I)","Euro","13.44"
"Average Hourly Earnings","2018Q1","Greater than 250","Information and communication (J)","Euro","36.79"
"Average Hourly Earnings","2018Q1","Greater than 250","Professional, scientific and technical activities (M)","Euro","31.16"
"Average Hourly Earnings","2018Q1","Greater than 250","Administrative and support service activities (N)","Euro","16"
"Average Hourly Earnings","2018Q1","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","25.79"
"Average Hourly Earnings","2018Q1","Greater than 250","Education (P)","Euro","39.48"
"Average Hourly Earnings","2018Q1","Greater than 250","Human health and social work activities (Q)","Euro","25.03"
"Average Hourly Earnings","2018Q1","Greater than 250","Industry (B to E)","Euro","27.43"
"Average Hourly Earnings","2018Q1","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","35.57"
"Average Hourly Earnings","2018Q1","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","20.58"
"Average Hourly Earnings","2018Q2","Under 50","All NACE economic sectors","Euro","19.06"
"Average Hourly Earnings","2018Q2","Under 50","Construction (F)","Euro","19.55"
"Average Hourly Earnings","2018Q2","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","17.94"
"Average Hourly Earnings","2018Q2","Under 50","Transportation and storage (H)","Euro","19.3"
"Average Hourly Earnings","2018Q2","Under 50","Accommodation and food service activities (I)","Euro","12.54"
"Average Hourly Earnings","2018Q2","Under 50","Information and communication (J)","Euro","27.29"
"Average Hourly Earnings","2018Q2","Under 50","Professional, scientific and technical activities (M)","Euro","24.41"
